,LICENSENO,ISSDTTM,EXPDTTM,LICSTATUS,LICENSECAT,DESCRIPT,RESULT,RESULTDTTM,SUM_VIOLATIONS,SCORE,GRADE
33654,25459,2012-06-07 10:47:00,2016-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2014-10-29 14:07:00,7,93,B
33656,23823,2011-12-29 12:51:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-10-29 14:26:00,38,62,C
33657,136565,2014-11-26 13:25:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2014-10-29 14:31:00,4,96,A
33659,27260,2012-02-06 10:50:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,2014-10-29 14:42:00,16,84,B
33660,21786,2012-01-08 15:15:00,2014-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-10-29 14:52:00,26,74,C
33661,19988,2012-04-30 08:49:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_OutBus,2014-10-29 15:24:00,21,79,C
33663,18057,2012-01-24 12:49:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-10-30 10:05:00,16,84,B
33669,78451,2013-01-24 10:48:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-10-30 10:45:00,4,96,A
33670,23116,2012-03-12 14:10:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-10-30 10:59:00,70,30,C
33671,31976,2012-01-03 08:11:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-10-30 10:59:00,28,72,C
33675,26507,2012-01-11 11:22:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-10-30 11:39:00,2,98,A
33678,24819,2012-02-29 10:11:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-10-30 12:06:00,10,90,B
33692,28452,2012-02-06 13:24:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-10-30 13:42:00,13,87,B
33700,18356,2012-02-15 13:40:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-10-30 14:20:00,30,70,C
33701,19878,2011-12-14 13:05:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2014-10-30 14:25:00,8,92,B
33702,33786,2012-02-08 17:17:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_FailExt,2014-10-30 14:29:00,2,98,A
33706,18807,2012-02-15 09:30:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-10-31 10:36:00,15,85,B
33712,93571,2013-07-30 09:42:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-10-31 11:09:00,26,74,C
33713,32550,2012-01-05 10:40:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2014-10-31 11:15:00,18,82,B
33714,79964,2012-06-21 12:02:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_FailExt,2014-10-31 11:16:00,16,84,B
33719,136065,2015-02-12 10:12:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-10-31 11:27:00,26,74,C
33720,28789,2012-03-06 14:19:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-10-31 11:41:00,34,66,C
33726,25221,2012-01-10 14:30:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2014-10-31 12:26:00,19,81,B
33728,18988,2011-12-30 13:19:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-10-31 12:34:00,31,69,C
33729,18970,2011-12-08 10:33:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-10-31 12:38:00,14,86,B
33732,26040,2012-01-17 13:56:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-10-31 13:02:00,4,96,A
33737,126242,2014-02-19 11:04:00,2014-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Hearing,2014-10-31 13:31:00,24,76,C
33739,26477,2012-04-26 09:15:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-10-31 14:00:00,113,-13,C
33742,31230,2012-02-13 11:09:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Hearing,2014-10-31 14:20:00,20,80,C
33745,90169,2013-03-26 09:51:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-10-31 14:26:00,12,88,B
33749,112428,2013-09-19 14:16:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Hearing,2014-10-31 14:53:00,2,98,A
33750,25316,2012-01-10 13:27:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Hearing,2014-10-31 15:18:00,60,40,C
33751,68305,2012-02-08 07:50:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_TSOP,2014-11-01 08:47:00,29,71,C
33753,77602,2012-02-27 13:34:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,2014-11-03 09:48:00,68,32,C
33757,18754,2012-02-15 10:42:00,2015-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2014-11-03 10:58:00,38,62,C
33762,19829,2011-12-15 11:23:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-03 11:37:00,11,89,B
33764,74800,2011-12-30 13:59:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-03 11:50:00,25,75,C
33767,25381,2012-04-03 12:31:00,2017-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Hearing,2014-11-03 12:07:00,19,81,B
33771,19901,2011-12-19 11:04:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-03 12:22:00,6,94,A
33773,19483,2012-02-10 09:21:00,2015-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Hearing,2014-11-03 12:27:00,46,54,C
33774,27687,2011-12-22 10:39:00,2016-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-03 12:32:00,19,81,B
33776,19570,2012-01-10 12:57:00,2017-12-31 23:59:00,Inactive,RF,Retail Food,HE_FailExt,2014-11-03 12:41:00,10,90,B
33777,18930,2012-02-15 13:43:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-03 12:58:00,27,73,C
33778,22807,2012-01-05 13:33:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_OutBus,2014-11-03 13:00:00,0,100,A
33779,29189,2012-02-15 08:33:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-03 13:14:00,27,73,C
33784,21118,2012-02-06 13:15:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2014-11-03 14:08:00,7,93,B
33785,123545,2014-01-28 10:41:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-03 14:12:00,21,79,C
33786,77602,2012-02-27 13:34:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_TSOP,2014-11-03 14:20:00,78,22,C
33790,76654,2012-03-06 15:21:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-03 14:34:00,33,67,C
33794,20419,2011-12-13 15:01:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-04 10:08:00,8,92,B
33796,77881,2012-02-22 10:00:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2014-11-04 10:26:00,10,90,B
33799,78406,2012-03-21 09:35:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2014-11-04 10:49:00,34,66,C
33800,27909,2011-12-23 11:59:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-04 11:01:00,18,82,B
33801,83804,2012-11-21 08:27:00,2015-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-04 11:07:00,12,88,B
33802,123545,2014-01-28 10:41:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2014-11-04 11:17:00,14,86,B
33803,76007,2011-12-13 11:27:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-04 11:18:00,16,84,B
33806,23770,2012-02-10 10:49:00,2015-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-04 11:52:00,16,84,B
33812,30450,2012-02-15 12:53:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-04 12:36:00,10,90,B
33813,22579,2011-12-17 21:12:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Hearing,2014-11-04 12:55:00,13,87,B
33820,78337,2012-05-08 10:09:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-04 13:55:00,27,73,C
33829,27439,2012-02-01 13:56:00,2016-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_TSOP,2014-11-05 07:59:00,7,93,B
33832,25105,2012-01-11 07:50:00,2018-12-31 23:59:00,Active,MFW,Mobile Food Walk On,HE_Fail,2014-11-05 09:23:00,30,70,C
33835,126794,2014-03-20 08:36:00,2017-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-05 10:17:00,24,76,C
33836,26555,2012-06-01 08:41:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-05 10:22:00,28,72,C
33841,80872,2013-04-25 15:15:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-05 11:02:00,11,89,B
33846,22527,2012-02-14 12:44:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-05 11:34:00,25,75,C
33847,26657,2012-02-06 14:08:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-05 11:34:00,25,75,C
33849,67971,2011-12-13 10:19:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2014-11-05 11:48:00,4,96,A
33855,28252,2011-12-28 09:23:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-05 12:14:00,28,72,C
33857,23707,2012-02-01 13:34:00,2016-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-05 12:48:00,46,54,C
33859,31172,2012-02-14 14:54:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-05 12:57:00,6,94,A
33861,18697,2012-06-13 15:01:00,2014-12-31 23:59:00,Inactive,RF,Retail Food,HE_OutBus,2014-11-05 13:14:00,10,90,B
33862,19892,2012-02-21 15:41:00,2017-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-05 13:37:00,25,75,C
33866,24227,2012-06-12 11:07:00,2015-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-05 14:05:00,41,59,C
33867,18639,2011-12-13 15:31:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-05 14:13:00,7,93,B
33868,23526,2012-02-01 15:06:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-05 14:20:00,35,65,C
33872,77740,2011-12-02 10:49:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Hearing,2014-11-06 10:37:00,18,82,B
33873,79463,2012-08-01 09:46:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-06 10:47:00,14,86,B
33875,19120,2011-12-28 11:11:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-06 11:02:00,10,90,B
33878,67369,2012-03-19 11:27:00,2017-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_FailExt,2014-11-06 11:23:00,38,62,C
33880,23572,2011-12-12 13:25:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-06 11:30:00,2,98,A
33882,30754,2011-12-15 15:15:00,2016-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-06 11:35:00,28,72,C
33884,79341,2013-02-27 09:31:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-06 11:42:00,14,86,B
33888,25155,2011-12-23 11:54:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-06 11:59:00,23,77,C
33891,24015,2012-01-11 08:25:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2014-11-06 12:15:00,32,68,C
33892,80208,2012-07-16 13:35:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-06 12:15:00,50,50,C
33897,32870,2012-02-23 10:28:00,2015-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2014-11-06 12:41:00,18,82,B
33898,25873,2012-01-09 08:29:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-06 12:48:00,48,52,C
33899,25746,2012-01-19 16:38:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-06 12:50:00,22,78,C
33901,77470,2014-11-17 12:53:00,2015-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-06 13:05:00,17,83,B
33904,18497,2012-07-06 08:15:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-06 13:51:00,53,47,C
33905,20942,2012-01-13 10:20:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-06 13:59:00,32,68,C
33911,78579,2012-04-04 09:59:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2014-11-06 14:32:00,21,79,C
33912,29703,2012-02-13 14:30:00,2016-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2014-11-06 14:38:00,32,68,C
33918,137355,2014-11-17 12:51:00,2016-12-31 23:59:00,Inactive,MFW,Mobile Food Walk On,HE_Fail,2014-11-07 08:54:00,22,78,C
33927,31230,2012-02-13 11:09:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2014-11-07 10:55:00,10,90,B
33935,23116,2012-03-12 14:10:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Hearing,2014-11-07 11:40:00,32,68,C
33937,24983,2012-03-27 09:31:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2014-11-07 11:58:00,10,90,B
33939,81174,2012-11-07 09:32:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-07 12:06:00,29,71,C
33940,81263,2012-10-10 09:39:00,2015-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2014-11-07 12:16:00,32,68,C
33944,19084,2011-12-07 15:05:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-07 12:36:00,44,56,C
33979,113239,2013-10-01 08:48:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2014-11-10 08:59:00,21,79,C
33988,137353,2014-11-21 15:05:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-10 10:32:00,2,98,A
33992,22695,2012-02-14 09:31:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-10 11:06:00,30,70,C
33993,18754,2012-02-15 10:42:00,2015-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_FailExt,2014-11-10 11:23:00,9,91,B
33995,26064,2012-02-06 13:59:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-10 12:05:00,19,81,B
34001,74592,2012-02-15 08:29:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2014-11-10 14:13:00,2,98,A
34002,80678,2013-05-03 09:34:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-10 14:31:00,52,48,C
34007,23628,2011-12-28 09:11:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-12 08:31:00,8,92,B
34011,26657,2012-02-06 14:08:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Hearing,2014-11-12 10:57:00,9,91,B
34013,21579,2011-12-22 13:43:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-12 11:04:00,61,39,C
34015,24526,2011-12-09 13:14:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-12 11:33:00,43,57,C
34016,26555,2012-06-01 08:41:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Hearing,2014-11-12 11:33:00,18,82,B
34017,31165,2012-02-14 12:19:00,2015-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-12 11:36:00,23,77,C
34020,25721,2011-12-08 14:43:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-12 11:57:00,22,78,C
34025,24725,2012-01-12 11:22:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2014-11-12 12:25:00,6,94,A
34027,29334,2012-01-27 11:47:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2014-11-12 12:36:00,4,96,A
34028,22175,2011-12-13 11:25:00,2016-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2014-11-12 12:46:00,33,67,C
34030,19539,2012-01-09 15:21:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2014-11-12 12:54:00,20,80,C
34033,18569,2011-12-13 11:43:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-12 13:30:00,20,80,C
34041,20192,2011-12-07 11:27:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-12 14:39:00,47,53,C
34042,83840,2012-11-27 08:44:00,2016-12-31 23:59:00,Inactive,RF,Retail Food,HE_FailExt,2014-11-12 14:47:00,10,90,B
34043,68694,2012-02-10 10:08:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-12 15:31:00,15,85,B
34044,20340,2012-07-19 08:33:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-12 15:32:00,32,68,C
34045,29357,2012-02-13 08:47:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-13 08:18:00,96,4,C
34057,26455,2012-03-05 10:40:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-13 10:23:00,10,90,B
34058,22727,2012-02-06 11:07:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2014-11-13 10:26:00,8,92,B
34059,24017,2012-01-10 11:06:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2014-11-13 10:33:00,4,96,A
34062,68113,2011-12-14 14:53:00,2018-12-31 23:59:00,Active,MFW,Mobile Food Walk On,HE_Fail,2014-11-13 11:07:00,10,90,B
34063,25381,2012-04-03 12:31:00,2017-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2014-11-13 11:11:00,9,91,B
34064,19919,2012-01-25 10:34:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2014-11-13 11:13:00,20,80,C
34066,23680,2011-12-13 10:24:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-13 11:19:00,37,63,C
34068,80419,2012-07-31 11:56:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-13 11:29:00,16,84,B
34069,77128,2012-04-26 11:25:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-13 11:39:00,21,79,C
34070,23296,2012-02-13 14:48:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-13 11:41:00,42,58,C
34074,20811,2011-12-23 11:30:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-13 11:51:00,32,68,C
34077,24227,2012-06-12 11:07:00,2015-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_FailExt,2014-11-13 12:10:00,14,86,B
34079,68133,2011-12-23 12:23:00,2015-12-31 23:59:00,Inactive,RF,Retail Food,HE_Fail,2014-11-13 12:15:00,15,85,B
34080,21931,2012-02-13 10:30:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-13 12:18:00,24,76,C
34092,20814,2012-02-13 11:08:00,2017-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2014-11-13 13:16:00,22,78,C
34100,18300,2012-01-10 11:14:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-13 14:00:00,31,69,C
34101,20133,2012-02-10 12:18:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-13 14:10:00,20,80,C
34103,26678,2011-12-29 14:39:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-13 14:17:00,10,90,B
34104,20942,2012-01-13 10:20:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,2014-11-13 14:22:00,4,96,A
34106,129832,2014-11-19 11:08:00,2015-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-13 15:25:00,16,84,B
34108,26483,2012-01-10 13:58:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-13 16:45:00,20,80,C
34110,29357,2012-02-13 08:47:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-14 08:06:00,24,76,C
34111,29428,2012-02-14 12:39:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_OutBus,2014-11-14 08:28:00,0,100,A
34112,86537,2013-01-07 09:13:00,2014-12-31 23:59:00,Inactive,RF,Retail Food,HE_OutBus,2014-11-14 08:29:00,0,100,A
34113,67556,2012-02-15 13:43:00,2017-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2014-11-14 10:08:00,31,69,C
34116,86537,2013-01-07 09:13:00,2014-12-31 23:59:00,Inactive,RF,Retail Food,HE_OutBus,2014-11-14 10:47:00,0,100,A
34117,24015,2012-01-11 08:25:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Hearing,2014-11-14 10:48:00,14,86,B
34118,68822,2011-10-28 15:41:00,2017-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-14 10:59:00,24,76,C
34120,128648,2014-05-15 10:25:00,2014-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2014-11-14 11:01:00,12,88,B
34122,21490,2011-12-22 11:51:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-14 11:23:00,33,67,C
34123,26477,2012-04-26 09:15:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Hearing,2014-11-14 11:29:00,52,48,C
34125,123112,2014-04-02 11:30:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_TSOP,2014-11-14 11:44:00,32,68,C
34126,24132,2012-03-29 10:16:00,2016-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-14 11:45:00,25,75,C
34127,79463,2012-08-01 09:46:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,2014-11-14 11:59:00,20,80,C
34130,21717,2012-01-03 14:25:00,2015-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-14 12:37:00,9,91,B
34131,23707,2012-02-01 13:34:00,2016-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_FailExt,2014-11-14 12:47:00,10,90,B
34132,30704,2012-02-15 10:21:00,2015-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2014-11-14 13:16:00,66,34,C
34133,76200,2012-01-18 12:27:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-14 13:24:00,24,76,C
34135,27326,2011-12-22 11:59:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-14 13:33:00,12,88,B
34137,18055,2012-01-03 13:58:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-14 13:59:00,10,90,B
34139,74615,2012-02-13 10:17:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-14 14:22:00,20,80,C
34142,23824,2012-01-12 14:23:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-14 14:32:00,10,90,B
34143,123112,2014-04-02 11:30:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2014-11-14 15:32:00,22,78,C
34145,25259,2012-01-05 11:05:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-14 17:11:00,48,52,C
34146,79728,2012-07-05 13:27:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-14 18:25:00,24,76,C
34149,31044,2011-12-23 12:58:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-17 08:29:00,22,78,C
34153,21453,2012-01-11 14:53:00,2016-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2014-11-17 10:18:00,10,90,B
34154,21437,2011-12-08 14:39:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2014-11-17 10:40:00,20,80,C
34156,26062,2012-02-06 14:29:00,2017-12-31 23:59:00,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-17 10:57:00,11,89,B
34157,25671,2012-01-10 14:27:00,2018-12-31 23:59:00,Active,RF,Retail Food,HE_Fail,2014-11-17 11:26:00,24,76,C
34161,74689,2011-11-28 13:09:00,2017-12-31 23:59:00,Inactive,FS,Eating & Drinking,HE_Fail,2014-11-17 11:56:00,2,98,A
34163,67866,2012-02-13 09:38:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-17 12:04:00,7,93,B
34164,18727,2012-02-08 18:28:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-17 12:19:00,8,92,B
34166,24754,2012-05-08 15:25:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-17 13:23:00,12,88,B
34168,20637,2012-02-14 14:11:00,2018-12-31 23:59:00,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,2014-11-17 13:34:00,18,82,B
34169,80147,2013-09-26 12:41:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-17 13:35:00,37,63,C
34171,22695,2012-02-14 09:31:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_FailExt,2014-11-17 14:21:00,10,90,B
34173,26357,2012-02-22 10:46:00,2018-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-11-17 14:33:00,11,89,B
